[    3038ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0052 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3039ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0053 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3039ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0054 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3039ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0055 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3039ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0056 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3039ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+005A locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3039ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0061 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0062 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0063 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0064 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3040ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0065 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
